dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher-than-avg,"Farmers Branch, TX","Ann Arbor, MI",1001 to 5000 employees,Company - Private,Lending,Finance,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"Woodridge, IL","Atlanta, GA",10000+ employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
lower-than-avg,"King of Prussia, PA","Whippany, NJ",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2015-2019
lower-than-avg,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2015-2019
lower-than-avg,"Cedar Park, TX","Cedar Park, TX",1 to 50 employees,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2015-2019
higher-than-avg,"Redwood City, CA","Redwood City, CA",1 to 50 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,Rate[2.0-2.4],Founded 2015-2019
lower-than-avg,"Austin, TX","Austin, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Rate[1.5-1.9],Founded 2015-2019
higher-than-avg,"San Antonio, TX","San Antonio, TX",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,Founded 2015-2019
higher-than-avg,"Oakland, CA","Oakland, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"Los Angeles, CA","New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Diego, CA","La Jolla, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Lending,Finance,$50 to $100 million (USD),Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),Rate[4.5-5.0],Founded 2010-2014
lower-than-avg,"Northbrook, IL","Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
lower-than-avg,"Houston, TX","Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"Glendale, CA","Glendale, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
lower-than-avg,"Austin, TX","Austin, TX",51 to 200 employees,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"Emeryville, CA","Emeryville, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"Los Angeles, CA","Culver City, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
lower-than-avg,"West Conshohocken, PA","West Conshohocken, PA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Financial Transaction Processing,Finance,$1 to $5 million (USD),Rate[4.0-4.4],Founded 2010-2014
