Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Burlingame, KS","Headquarters = Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Indianapolis, IN","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsSenior,-1,salary_lower_than_avg
"Location = Chicago, IL","Headquarters = Chicago, IL",51 to 200 employees,Company - Private,Video Games,Media,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Brokerage Services,Finance,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Farmers Branch, TX","Headquarters = Ann Arbor, MI",1001 to 5000 employees,Company - Private,Lending,Finance,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Chicago, IL","Headquarters = Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,Easy Apply,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Woodridge, IL","Headquarters = Atlanta, GA",10000+ employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,"International Paper, Graphic Packaging International, Smurfit Kappa",salary_higher_than_avg
"Location = Chicago, IL","Headquarters = Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,Easy Apply,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = King of Prussia, PA","Headquarters = Whippany, NJ",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[2.5-2.9,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[2.5-2.9,Founded 2015-2019,IsSenior,-1,salary_lower_than_avg
"Location = Cedar Park, TX","Headquarters = Cedar Park, TX",1 to 50 employees,Company - Private,Trucking,Transportation & Logistics,-1,-1,Rate[2.5-2.9,Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Redwood City, CA","Headquarters = Redwood City, CA",1 to 50 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,-1,-1,Rate[2.0-2.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,Rate[1.5-1.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
